CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
F29595,6395,E,2.0,26:55.0,20/09/2019,20/09/2019 00:00,20/09/2019,,280.0,0.0,0.0
F29596,1852,E,2.0,54:09.0,20/09/2019,17/09/2019 00:00,05/10/2019,,7125.9,0.0,0.0
F29597,871,E,1.0,56:36.0,23/09/2019,23/09/2019 00:00,08/10/2019,,7300.0,0.0,0.0
F29599,1703,E,1.0,25:51.0,23/09/2019,06/09/2019 00:00,23/10/2019,,50994.0,0.0,0.0
F29600,1965,E,2.0,52:38.0,23/09/2019,23/09/2019 00:00,08/10/2019,,2790.5,418.58,0.0
F29601,989,E,2.0,43:41.0,23/09/2019,23/09/2019 00:00,08/10/2019,,2726.52,0.0,0.0
F29602,989,E,2.0,46:06.0,23/09/2019,23/09/2019 00:00,08/10/2019,,1363.26,0.0,0.0
F29603,3222,C,3.0,48:14.0,23/09/2019,23/09/2019 00:00,23/09/2019,23/09/2019,1363.26,0.0,0.0
F29604,5149,E,2.0,50:55.0,23/09/2019,23/09/2019 00:00,23/09/2019,,2726.52,0.0,0.0
F29605,3222,E,2.0,56:35.0,23/09/2019,23/09/2019 00:00,23/09/2019,,1363.26,0.0,0.0
F29606,6846,E,2.0,03:15.0,23/09/2019,23/09/2019 00:00,23/09/2019,,1282.33,0.0,0.0
F29609,6833,E,2.0,52:56.0,23/09/2019,23/09/2019 00:00,23/09/2019,,1080.02,0.0,0.0
F29610,4831,E,2.0,12:30.0,23/09/2019,23/09/2019 00:00,23/09/2019,,1540.0,0.0,0.0
F29611,5486,E,1.0,34:05.0,23/09/2019,23/09/2019 00:00,23/09/2019,,3175.0,0.0,0.0
F29612,664,C,2.0,43:03.0,23/09/2019,25/09/2019 00:00,08/10/2019,23/09/2019,10463.01,0.0,0.0
F29613,664,C,2.0,45:05.0,23/09/2019,18/09/2019 00:00,08/10/2019,23/09/2019,4232.25,0.0,0.0
F29614,664,E,2.0,54:19.0,23/09/2019,25/09/2019 00:00,08/10/2019,,10463.01,0.0,0.0
F29615,664,C,2.0,56:43.0,23/09/2019,18/09/2019 00:00,08/10/2019,23/09/2019,4232.25,0.0,0.0
F29616,664,E,2.0,59:19.0,23/09/2019,18/09/2019 00:00,08/10/2019,,4232.25,0.0,0.0
F29617,4631,E,2.0,25:28.0,23/09/2019,23/09/2019 00:00,23/10/2019,,2900.0,435.0,0.0
F29618,4631,E,2.0,27:10.0,23/09/2019,23/09/2019 00:00,23/10/2019,,1450.0,217.5,0.0
F29619,6661,E,2.0,57:46.0,23/09/2019,13/09/2019 00:00,23/09/2019,,1627.5,0.0,0.0
F29620,4802,E,2.0,26:10.0,23/09/2019,09/09/2019 00:00,23/09/2019,,6186.3375,0.0,0.0
F29622,6670,E,2.0,21:27.0,23/09/2019,23/09/2019 00:00,23/09/2019,,6492.0,0.0,0.0
F29623,6383,E,,44:41.0,24/09/2019,24/09/2019 00:00,24/09/2019,,2144.0,0.0,0.0
F29624,1125,E,,04:45.0,24/09/2019,24/09/2019 00:00,09/10/2019,,1319.0,0.0,0.0
